YYYY,MM,DD,HR,Temperature,Humidity,Precipitation,Pressure,Windspeed
2018,5,19,10,15.27,6.9,0,100.44,4.42
2018,5,19,11,15.83,6.9,0,100.39,4.91
2018,5,19,12,16.23,6.96,0,100.33,5.35
2018,5,19,13,16.57,7.14,0,100.28,5.75
2018,5,19,14,16.76,7.32,0,100.21,6.13
2018,5,19,15,16.78,7.51,0,100.16,6.52
2018,5,19,16,16.48,7.63,0,100.14,6.58
2018,5,19,17,15.61,7.69,0,100.13,5.99
2018,5,19,18,14.21,7.57,0,100.11,5.19
2018,5,19,19,12.7,7.39,0,100.09,4.48
2018,5,19,20,11.45,7.2,0,100.09,3.99
2018,5,19,21,10.65,7.02,0,100.09,3.91
2018,5,19,22,9.99,6.84,0,100.08,4.1
2018,5,19,23,9.65,6.71,0,100.06,4.38
2018,5,20,0,9.39,6.59,0,100.05,4.56
2018,5,20,1,9.15,6.47,0,100.02,4.72
2018,5,20,2,8.93,6.35,0,99.99,4.76
2018,5,20,3,8.76,6.29,0,99.98,4.64
2018,5,20,4,8.75,6.29,0,99.99,4.59
2018,5,20,5,9.09,6.29,0,100.01,4.79
2018,5,20,6,9.76,6.41,0,100.03,4.99
2018,5,20,7,10.71,6.65,0,100.04,5.03
2018,5,20,8,11.87,6.9,0,100.06,5.55
2018,5,20,9,13.05,7.08,0,100.07,6.45
2018,5,20,10,14.07,7.26,0.01,100.07,7.13
2018,5,20,11,14.85,7.45,0.01,100.07,7.43
2018,5,20,12,15.44,7.63,0.01,100.05,7.54
2018,5,20,13,15.75,7.69,0.02,100.03,7.48
2018,5,20,14,15.76,7.75,0.02,100.01,7.26
2018,5,20,15,15.6,7.75,0.03,99.98,6.82
2018,5,20,16,15.28,7.81,0.03,99.97,6.27
2018,5,20,17,14.73,7.87,0.03,99.97,5.55
2018,5,20,18,13.92,7.93,0.03,99.99,4.56
2018,5,20,19,12.88,7.93,0.04,100.03,3.57
2018,5,20,20,11.92,7.75,0.06,100.07,2.94
2018,5,20,21,11.4,7.57,0.08,100.1,2.8
2018,5,20,22,10.94,7.39,0.09,100.11,2.8
2018,5,20,23,10.37,7.14,0.06,100.09,2.76
2018,5,21,0,10.05,7.08,0.02,100.07,2.59
2018,5,21,1,9.62,6.9,0,100.05,2.48
2018,5,21,2,8.98,6.71,0,100.04,2.45
2018,5,21,3,8.45,6.59,0,100.02,2.34
2018,5,21,4,8.39,6.53,0,100.04,2.12
2018,5,21,5,9.71,7.02,0,100.05,1.67
2018,5,21,6,10.86,7.08,0,100.06,1.66
2018,5,21,7,12.55,6.96,0,100.06,2.06
2018,5,21,8,14.37,6.65,0,100.05,2.87
2018,5,21,9,15.54,6.71,0,100.04,3.25
2018,5,21,10,16.34,6.9,0,100.03,3.57
2018,5,21,11,16.88,7.14,0,100.04,3.82
2018,5,21,12,17.33,7.32,0,100.04,3.96
2018,5,21,13,17.69,7.51,0,100.03,4.01
2018,5,21,14,17.9,7.63,0,100.03,3.98
